Title,Rank,Anime_Urls
Koukaku Kidoutai: Stand Alone Complex,"
134
",https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex
Mononoke,"
135
",https://myanimelist.net/anime/2246/Mononoke
Saiki Kusuo no Ψ-nan 2,"
136
",https://myanimelist.net/anime/34612/Saiki_Kusuo_no_Ψ-nan_2
Saiki Kusuo no Ψ-nan,"
137
",https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,"
138
",https://myanimelist.net/anime/35851/Sayonara_no_Asa_ni_Yakusoku_no_Hana_wo_Kazarou
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,"
139
",https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season
Major S5,"
140
",https://myanimelist.net/anime/5028/Major_S5
Grand Blue,"
141
",https://myanimelist.net/anime/37105/Grand_Blue
Kara no Kyoukai 7: Satsujin Kousatsu (Go),"
142
",https://myanimelist.net/anime/5205/Kara_no_Kyoukai_7__Satsujin_Kousatsu_Go
Kaze ga Tsuyoku Fuiteiru,"
143
",https://myanimelist.net/anime/37965/Kaze_ga_Tsuyoku_Fuiteiru
Kono Oto Tomare! 2nd Season,"
144
",https://myanimelist.net/anime/38889/Kono_Oto_Tomare_2nd_Season
Natsume Yuujinchou Movie: Utsusemi ni Musubu,"
145
",https://myanimelist.net/anime/36538/Natsume_Yuujinchou_Movie__Utsusemi_ni_Musubu
Non Non Biyori Nonstop,"
146
",https://myanimelist.net/anime/39808/Non_Non_Biyori_Nonstop
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,"
147
",https://myanimelist.net/anime/39587/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season
Shingeki no Kyojin: Kuinaki Sentaku,"
148
",https://myanimelist.net/anime/25781/Shingeki_no_Kyojin__Kuinaki_Sentaku
Tensei shitara Slime Datta Ken 2nd Season,"
149
",https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season
Tensei shitara Slime Datta Ken 2nd Season Part 2,"
150
",https://myanimelist.net/anime/41487/Tensei_shitara_Slime_Datta_Ken_2nd_Season_Part_2
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,"
151
",https://myanimelist.net/anime/39547/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan
3-gatsu no Lion,"
152
",https://myanimelist.net/anime/31646/3-gatsu_no_Lion
Chihayafuru 2,"
153
",https://myanimelist.net/anime/14397/Chihayafuru_2
Cross Game,"
154
",https://myanimelist.net/anime/5941/Cross_Game
Gintama°: Aizome Kaori-hen,"
155
",https://myanimelist.net/anime/32366/Gintama°__Aizome_Kaori-hen
Baccano!,"
156
",https://myanimelist.net/anime/2251/Baccano
Barakamon,"
157
",https://myanimelist.net/anime/22789/Barakamon
Gotcha!,"
158
",https://myanimelist.net/anime/42984/Gotcha
Houseki no Kuni (TV),"
159
",https://myanimelist.net/anime/35557/Houseki_no_Kuni_TV
Hunter x Hunter,"
160
",https://myanimelist.net/anime/136/Hunter_x_Hunter
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"
161
",https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
Natsume Yuujinchou Roku Specials,"
162
",https://myanimelist.net/anime/36275/Natsume_Yuujinchou_Roku_Specials
Usagi Drop,"
163
",https://myanimelist.net/anime/10162/Usagi_Drop
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,"
164
",https://myanimelist.net/anime/39741/Violet_Evergarden_Gaiden__Eien_to_Jidou_Shuki_Ningyou
Kizumonogatari I: Tekketsu-hen,"
165
",https://myanimelist.net/anime/9260/Kizumonogatari_I__Tekketsu-hen
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"
166
",https://myanimelist.net/anime/11979/Mahou_Shoujo_Madoka★Magica_Movie_2__Eien_no_Monogatari
Cowboy Bebop: Tengoku no Tobira,"
167
",https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira
Douluo Dalu: Xiaowu Juebie,"
168
",https://myanimelist.net/anime/42498/Douluo_Dalu__Xiaowu_Juebie
Hellsing Ultimate,"
169
",https://myanimelist.net/anime/777/Hellsing_Ultimate
Kaze no Tani no Nausicaä,"
170
",https://myanimelist.net/anime/572/Kaze_no_Tani_no_Nausicaä
Tian Guan Ci Fu,"
171
",https://myanimelist.net/anime/40730/Tian_Guan_Ci_Fu
Wu Liuqi Zhi Xuanwu Guo Pian,"
172
",https://myanimelist.net/anime/45556/Wu_Liuqi_Zhi_Xuanwu_Guo_Pian
Bakuman. 2nd Season,"
173
",https://myanimelist.net/anime/10030/Bakuman_2nd_Season
Kamisama Hajimemashita: Kako-hen,"
174
",https://myanimelist.net/anime/30709/Kamisama_Hajimemashita__Kako-hen
Kiseijuu: Sei no Kakuritsu,"
175
",https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"
176
",https://myanimelist.net/anime/9989/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai
Kingdom 2nd Season,"
177
",https://myanimelist.net/anime/17389/Kingdom_2nd_Season
Mahou Shoujo Madoka★Magica,"
178
",https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka★Magica
Mushoku Tensei: Isekai Ittara Honki Dasu,"
179
",https://myanimelist.net/anime/39535/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu
Psycho-Pass,"
180
",https://myanimelist.net/anime/13601/Psycho-Pass
One Outs,"
181
",https://myanimelist.net/anime/5040/One_Outs
Tenki no Ko,"
182
",https://myanimelist.net/anime/38826/Tenki_no_Ko
Tokyo Revengers,"
183
",https://myanimelist.net/anime/42249/Tokyo_Revengers
Uchuu Senkan Yamato 2199,"
184
",https://myanimelist.net/anime/12029/Uchuu_Senkan_Yamato_2199
Bakemonogatari,"
185
",https://myanimelist.net/anime/5081/Bakemonogatari
Gintama: Shiroyasha Koutan,"
186
",https://myanimelist.net/anime/6945/Gintama__Shiroyasha_Koutan
Given,"
187
",https://myanimelist.net/anime/39533/Given
Haikyuu!!: To the Top,"
188
",https://myanimelist.net/anime/38883/Haikyuu__To_the_Top
Major S6,"
189
",https://myanimelist.net/anime/7655/Major_S6
Evangelion: 2.0 You Can (Not) Advance,"
190
",https://myanimelist.net/anime/3784/Evangelion__20_You_Can_Not_Advance
K-On! Movie,"
191
",https://myanimelist.net/anime/9617/K-On_Movie
Katanagatari,"
192
",https://myanimelist.net/anime/6594/Katanagatari
Kemono no Souja Erin,"
193
",https://myanimelist.net/anime/5420/Kemono_no_Souja_Erin
Made in Abyss Movie 2: Hourou Suru Tasogare,"
194
",https://myanimelist.net/anime/37515/Made_in_Abyss_Movie_2__Hourou_Suru_Tasogare
